Animal,Description
Lion,"The 'King of the Jungle', a large social cat found in African savannas."
Tiger,"A solitary hunter and the largest cat species in the world, native to Asia."
Elephant,"The largest land mammal, known for its high intelligence and long trunk."
Giraffe,"The tallest living terrestrial animal, characterized by its extremely long neck."
Kangaroo,"A large marsupial native to Australia, known for hopping on its powerful hind legs."
Panda,"A bear native to south-central China, famous for its black and white coat and bamboo diet."
Penguin,"Flightless marine birds that live almost exclusively in the Southern Hemisphere."
Wolf,"A large canine native to Eurasia and North America, known for its pack behavior."
Zebra,"African equines best known for their distinctive black-and-white striped coats."
Koala,"An arboreal herbivorous marsupial native to Australia, primarily eating eucalyptus."
Eagle,"A large, powerful bird of prey with excellent eyesight and a hooked beak."
Shark,"Ancient predatory fish found in all oceans, known for their cartilaginous skeletons."
Dolphin,"Highly intelligent marine mammals known for their playful behavior and sonar."
Gorilla,"The largest living primates, inhabiting the forests of central sub-Saharan Africa."
Cheetah,"The fastest land animal, capable of reaching speeds up to 70 mph."
Jaguar,"A large cat species found in the Americas, known for its powerful bite."
Lemur,"Primate native only to the island of Madagascar, with large reflective eyes."
Ostrich,"The largest and heaviest living bird, native to Africa and flightless."
Platypus,"A duck-billed, egg-laying mammal native to eastern Australia."
Red Panda,"A small arboreal mammal native to the eastern Himalayas and southwestern China."
Arctic Fox,"A small fox native to the Arctic regions, known for its thick white winter fur."
Brown Bear,"A large bear species found across Eurasia and North America."
Chimpanzee,"A species of great ape native to the forests of tropical Africa, our closest relative."
Flamingo,"Social wading birds known for their pink feathers and standing on one leg."
Hippopotamus,"A large, mostly herbivorous, semiaquatic mammal native to sub-Saharan Africa."
Iguana,"A genus of herbivorous lizards native to tropical areas of Mexico and South America."
Komodo Dragon,"The largest species of lizard, found in the Indonesian islands."
Lynx,"Medium-sized wild cats known for their tufted ears and short tails."
Meerkat,"A small mongoose found in southern Africa, known for its upright sentry posture."
Narwhal,"A medium-sized whale with a large 'tusk' which is actually a protruding tooth."
Okapi,"A giraffid mammal native to the Ituri Rainforest in central Africa."
Polar Bear,"A hypercarnivorous bear whose native range lies largely within the Arctic Circle."
Quokka,"A small macropod about the size of a domestic cat, native to Western Australia."
Rhinoceros,"Large herbivorous mammals known for their thick skin and prominent horns."
Snow Leopard,"A large cat native to the mountain ranges of Central and South Asia."
Tasmanian Devil,"A carnivorous marsupial found in the wild only on the island state of Tasmania."
Utter,"A playful semiaquatic mammal known for its thick fur and swimming ability."
Vulture,"Scavenging birds of prey that feed mostly on the carcasses of dead animals."
Walrus,"A large flippered marine mammal with a discontinuous distribution about the North Pole."
X-ray Tetra,"A species of small, translucent fish native to the Amazon River basin."
Yak,"A long-haired domesticated bovid found throughout the Himalayan region."
Zebu,"A species or subspecies of domestic cattle originating in South Asia."
Armadillo,"New World mammals known for having a leathery armor shell."
Bison,"Large even-toed ungulates that historically roamed North American plains."
Capybara,"The largest living rodent in the world, native to South America."
Dingo,"A wild dog found in Australia, likely descended from semi-domesticated dogs."
Echidna,"Spiny anteaters that are egg-laying mammals native to Oceania."
Falcon,"Birds of prey known for their incredible speed and keen hunting skills."
Grizzly Bear,"A large subspecies of brown bear found in North America."
Honey Badger,"A mammal known for its strength, ferocity, and tough skin."
